Term,Error
porosity,'tuple' object has no attribute 'metadata'
post-depositional tectonics,'tuple' object has no attribute 'metadata'
post-rift,'tuple' object has no attribute 'metadata'
post-rift phase,'tuple' object has no attribute 'metadata'
potassium-rich clay,'tuple' object has no attribute 'metadata'
pre-alagoas unconformity,'tuple' object has no attribute 'metadata'
precambrian crystalline basement,'tuple' object has no attribute 'metadata'
pre-salt,'tuple' object has no attribute 'metadata'
pre-salt deposit,'tuple' object has no attribute 'metadata'
pre-salt intraclastic deposit,'tuple' object has no attribute 'metadata'
pre-salt intraclastic facies,'tuple' object has no attribute 'metadata'
pre-salt succession,'tuple' object has no attribute 'metadata'
precipitation condition,'tuple' object has no attribute 'metadata'
predominantly massive structure,'tuple' object has no attribute 'metadata'
preserved calcite rim,'tuple' object has no attribute 'metadata'
preserved primary interparticle pore,'tuple' object has no attribute 'metadata'
primary composition,'tuple' object has no attribute 'metadata'
primary constituent,'tuple' object has no attribute 'metadata'
primary interparticle porosity,'tuple' object has no attribute 'metadata'
primary porosity preservation,'tuple' object has no attribute 'metadata'
prismatic celestite,'tuple' object has no attribute 'metadata'
prismatic rim,'tuple' object has no attribute 'metadata'
progradational carbonate platform,'tuple' object has no attribute 'metadata'
