Title,Authors
"Structural geology and deformation analysis in the Búzios-Itapu area, Santos Basin — offshore Brazil",Raissa Siqueira; Marcos Fetter; Marco Cetale
"Pre-salt carbonate cyclicity and depositional environment: NMR petrophysics and Markov cyclicity of lacustrine acoustic facies (Santos Basin, Brazil)",Marcus Vinícius Theodoro Soares; Letícia da Silva Bomfim; Alexandre Campane Vidal; Michelle Chaves Kuroda Avansi; Oton Rúbio Cunha; Richard Guillermo Vásconez García; Renato Sol de Paiva Medeiros
"Seismic stratigraphic framework and seismic facies of the Aptian Pre-salt Barra Velha Formation in the Tupi Field, Santos Basin, Brazil",Vitor P. Sommer; Juliano Kuchle; Luiz F. De Ros
"Diagenetic products, settings and evolution of the pre-salt succession in the Northern Campos Basin, Brazil",Michael Strugale; Bruno Eustáquio Moreira Lima; Christopher Day; Jenny Omma; Jeremy Rushton; João Paulo Roncolatto Olivito; Jon Bouch; Laurence Robb; Nick Roberts; Joe Cartwright
"Tectono‐stratigraphic evolution of the rift and post‐rift systems in the Northern Campos Basin, offshore Brazil",Michael Strugale; Joe Cartwright
"Impacts of diagenetic processes on petrophysical characteristics of the Aptian presalt carbonates of the Santos Basin, Brazil",Hugo Tamoto; André Luiz Silva Pestilho; Anelize Manuela Bahniuk Rumbelsperger
"Geological Characterization and Modeling of an Aptian Carbonate Reservoir in the Santos Basin, Brazil",Ana Paula Tanaka; Desiree Faria; João Paulo Gomes; Olinto de Souza Jr.
"Fault-related fracture modeling in a pre-salt lacustrine carbonate reservoir from Santos Basin, offshore Brazil: Predicting preferential fluid flow paths using 3D geological and flow simulation models",Ana Paula Burgoa Tanaka; João Paulo Gomes Borges; Gabriel Correa de Matos; Maria Taryn Relvas Campos; Bruno Miranda Cunha; Rogério Brandi de Souza; Jefter Natan de Moraes Caldeira; Tatiana Alice Soares de Oliveira; Diogo Reato Marçon; Ana Paula Martins Lima
"Chapter 14: Búzios Field: Geological Setting of the Largest Pre-Salt Field, Santos Basin, Brazil",P. Tavares dos Santos; A.C. Gordon
"The lower Barra Velha formation (Aptian) in the Atapu field, Santos basin: Geological model for a pre-salt succession",Silvia Amorim Terra; Douglas Renato Lima da Silva; Andre Ribeiro; Leonardo Borghi
Chapter 8: A Discussion on South Atlantic Pre-Salt Continental Carbonates: A Mosaic of Sedimentary Facies and Processes,A. Virgone; E. Gaucher; P.-A. Teboul; C. Kolodka; E. Poli
Compartmentalization and stratigraphic-structural trapping in pre-salt carbonate reservoirs of the Santos Basin: A case study in the Iara complex,Júlio Cesar dos Santos Vital; Marcus Vinícius Berao Ade; Rodrigo Morelatto; Wagner Moreira Lupinacci
"Prediction of lithology in lacustrine carbonates using well logs: The Cretaceous Barra Velha Formation in Santos Basin, offshore Brazil",Hongping Wang; Mei Zhang; Guozhang Fan; Lu Xiao; Guoping Zuo; Liu Yang; Xu Pang; Chaofeng Wang; Yonggang Zhang
Critical evaluation of depositional models for the pre-salt of the Santos Basin,V. Paul Wright; Andrew J. Barnett
"The mantle, CO2 and the giant Aptian chemogenic lacustrine carbonate factory of the South Atlantic: Some carbonates are made, not born",V. Paul Wright
"Reinterpreting the South Atlantic Pre-Salt ‘Microbialite’ reservoirs: petrographic, isotopic and seismic evidence for a shallow evaporitic lake depositional model",Paul Wright; Karyna Rodriguez
Controlling factors and evolution of reservoirs in continental rift lacustrine carbonate factory: insight from the cretaceous ITP-BVE formation in Brazil’s Santos Basin,Mengying Yang; Xiucheng Tan; Fang Xu; Duo Hao; Junfeng Zhao; Chenqing Li; Jixin Huang; Peijia Li
"Petrographical and petrophysical characterization of pre-salt Aptian carbonate reservoirs from the Santos Basin, Brazil",Najlah Zeitoum; Alexandre Campane Vidal; Eddy Muñoz Ruidiaz; Rafael Valladares de Almeida
